Assay,Call,MatchType,Pattern,Note,Enabled,Priority
Respiratory panel,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
Respiratory panel CE-IVD,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
Respiratory panel UKCA-IVD,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV plus IUO,NEG,EQUALS,SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLUVID plus SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV plus IUO,POS,EQUALS,SARS-CoV-2 POSITIVE;Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLUVID plus SampleType 1,TRUE,9000
SARS-CoV-2_Flu_RSV plus RUO,NEG,EQUALS,SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLUVID plus SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV plus RUO,POS,EQUALS,SARS-CoV-2 POSITIVE;Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLUVID plus SampleType 1,TRUE,9000
SARS-CoV-2_Flu_RSV_plus,NEG,EQUALS,SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLUVID plus SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV_plus,POS,EQUALS,SARS-CoV-2 POSITIVE;Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLUVID plus SampleType 1,TRUE,9000
TAP Panel IUO,POS,EQUALS,Ft DETECTED;Ba DETECTED;Yp DETECTED,Spec TAP Panel SampleType 1,TRUE,9000
TAP Panel IUO,NEG,EQUALS,Ft NOT DETECTED;Ba NOT DETECTED;Yp NOT DETECTED,Spec TAP Panel SampleType 0,TRUE,9000
TAP Panel RUO,POS,EQUALS,Ft DETECTED;Ba DETECTED;Yp DETECTED,Spec TAP Panel SampleType 1,TRUE,9000
TAP Panel RUO,NEG,EQUALS,Ft NOT DETECTED;Ba NOT DETECTED;Yp NOT DETECTED,Spec TAP Panel SampleType 0,TRUE,9000
XP Flu-RSV RUO,NEG,EQUALS,Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLU RSV SampleType 0,TRUE,9000
XP Flu-RSV RUO,POS,EQUALS,Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLU RSV SampleType 1,TRUE,9000
